fold_id,feature,feature_group,gain_importance,split_importance
8,broad_note_flag,note_or_quality_flags,93967.53500366211,98.0
8,building_age,basic_housing,4184670.832748413,2486.0
8,building_age_missing,basic_housing,179030.23962402344,60.0
8,building_area_m2,basic_housing,1821071.7385101318,1397.0
8,building_area_ping,basic_housing,292221.7621078491,256.0
8,building_type,location_time,129347.70755004883,118.0
8,comp_365d_count,rule_based_comparable,0.0,0.0
8,comp_365d_mean_price,rule_based_comparable,1693008.4043121338,507.0
8,comp_365d_median_age_diff,rule_based_comparable,1166062.4208755493,988.0
8,comp_365d_median_area_diff_pct,rule_based_comparable,715837.2426681519,817.0
8,comp_365d_median_days_diff,rule_based_comparable,858632.0012664795,929.0
8,comp_365d_median_distance,rule_based_comparable,865466.5308380127,758.0
8,comp_365d_median_price,rule_based_comparable,783107.2353897095,605.0
8,comp_365d_nearest_distance,rule_based_comparable,757717.7972564697,778.0
8,comp_365d_nearest_price,rule_based_comparable,1171147.3769378662,944.0
8,comp_365d_std_price,rule_based_comparable,1219300.3722305298,1135.0
8,comp_365d_weighted_mean_price,rule_based_comparable,10898872.2261734,544.0
8,comp_730d_count,rule_based_comparable,0.0,0.0
8,comp_730d_mean_price,rule_based_comparable,8447992.029449463,533.0
8,comp_730d_median_age_diff,rule_based_comparable,1428195.6207199097,1165.0
8,comp_730d_median_area_diff_pct,rule_based_comparable,837580.4293060303,946.0
8,comp_730d_median_days_diff,rule_based_comparable,861313.2032775879,936.0
8,comp_730d_median_distance,rule_based_comparable,755797.279335022,710.0
8,comp_730d_median_price,rule_based_comparable,2211811.698692322,727.0
8,comp_730d_nearest_distance,rule_based_comparable,878875.4884490967,807.0
8,comp_730d_nearest_price,rule_based_comparable,1870005.1653900146,1011.0
8,comp_730d_std_price,rule_based_comparable,1569956.2291259766,1359.0
8,comp_730d_weighted_mean_price,rule_based_comparable,146984772.0777588,892.0
8,district,location_time,677900.7031326294,480.0
8,district_count_180d,time_aware_market,979856.2241821289,1001.0
8,district_median_price_180d,time_aware_market,1332595.9497909546,863.0
8,district_median_price_365d,time_aware_market,1544698.0739898682,939.0
8,district_price_change_180_365,time_aware_market,811736.4509887695,933.0
8,district_type_count_180d,time_aware_market,785126.0094985962,807.0
8,district_type_median_price_180d,time_aware_market,825479.6865005493,711.0
8,district_type_median_price_365d,time_aware_market,1023937.171836853,674.0
8,district_type_price_change_180_365,time_aware_market,987670.9534378052,1126.0
8,emb_1095d_count,embedding_reranker_comparable,0.0,0.0
8,emb_1095d_max_reranker_score,embedding_reranker_comparable,1401453.6673278809,986.0
8,emb_1095d_max_similarity,embedding_reranker_comparable,644951.2316589355,616.0
8,emb_1095d_mean_price,embedding_reranker_comparable,639579.415184021,588.0
8,emb_1095d_mean_reranker_score,embedding_reranker_comparable,793052.5238418579,711.0
8,emb_1095d_mean_similarity,embedding_reranker_comparable,541900.6990356445,553.0
8,emb_1095d_median_age_diff,embedding_reranker_comparable,1032935.1127624512,935.0
8,emb_1095d_median_area_diff_pct,embedding_reranker_comparable,845186.5603637695,880.0
